reaction,flux_rich,flux_TME,delta_flux,log2FC_TME_vs_rich,subsystem
MAR05395,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR05396,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR09727,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR05397,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR05398,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR05399,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR05400,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR05401,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR08568,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR08569,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR08570,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR08571,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR08572,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR08573,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR08574,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR08575,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR08576,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR08577,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR08578,1.6434329716941096,0.4926943752058023,-1.1507385964883072,-1.7379477079888388,Starch and sucrose metabolism
MAR08579,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR08581,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR08591,0.0675215145937657,0.0,-0.0675215145937657,-26.008843951477456,Starch and sucrose metabolism
MAR08592,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR08580,1.575911457100344,0.4926943752058023,-1.0832170818945417,-1.677421570471346,Starch and sucrose metabolism
MAR08582,1.6434329716941096,0.4926943752058023,-1.1507385964883072,-1.7379477079888388,Starch and sucrose metabolism
MAR08587,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR08589,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR08583,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR08584,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR08585,0.0,0.0,0.0,0.0,Starch and sucrose metabolism
MAR03944,0.0048911556645776,0.0048911556645776,0.0,0.0,Galactose metabolism
MAR04128,0.0,0.0,0.0,0.0,Galactose metabolism
MAR04130,0.0,0.0,0.0,0.0,Galactose metabolism
MAR04131,0.0,0.0,0.0,0.0,Galactose metabolism
MAR04132,0.0,0.0,0.0,0.0,Galactose metabolism
MAR04303,0.0,0.0,0.0,0.0,Galactose metabolism
MAR04414,0.0,0.0,0.0,0.0,Galactose metabolism
MAR04415,0.0,0.0,0.0,0.0,Galactose metabolism
MAR04416,0.0,0.0,0.0,0.0,Galactose metabolism
MAR04831,0.0,0.0,0.0,0.0,Galactose metabolism
MAR04832,0.0,0.0,0.0,0.0,Galactose metabolism
MAR07674,0.0,0.0,0.0,0.0,Galactose metabolism
MAR08761,0.0,0.0,0.0,0.0,Galactose metabolism
MAR08762,0.0,0.0,0.0,0.0,Galactose metabolism
MAR08764,0.0,0.0,0.0,0.0,Galactose metabolism
MAR08766,0.0,0.0,0.0,0.0,Galactose metabolism
MAR08767,0.0,0.0,0.0,0.0,Galactose metabolism
MAR00454,0.0,0.0,0.0,0.0,Fructose and mannose metabolism
MAR04297,0.0,0.0,0.0,0.0,Fructose and mannose metabolism
MAR04310,0.0,0.0,0.0,0.0,Fructose and mannose metabolism
MAR04315,0.0,0.0,0.0,0.0,Fructose and mannose metabolism
MAR04316,0.0,0.0,0.0,0.0,Fructose and mannose metabolism
MAR04317,0.0,0.0,0.0,0.0,Fructose and mannose metabolism
MAR04318,0.0,0.0,0.0,0.0,Fructose and mannose metabolism
MAR04319,6.5062103721826725,1.9707775008232091,-4.535432871359463,-1.7230525643293055,Fructose and mannose metabolism
MAR04320,0.0,0.0,0.0,0.0,Fructose and mannose metabolism
MAR04356,0.0,0.0,0.0,0.0,Fructose and mannose metabolism
MAR04383,0.0,0.0,0.0,0.0,Fructose and mannose metabolism
MAR04385,0.0,0.0,0.0,0.0,Fructose and mannose metabolism
MAR04386,0.0,0.0,0.0,0.0,Fructose and mannose metabolism
MAR04387,0.0,0.0,0.0,0.0,Fructose and mannose metabolism
MAR04399,0.0,0.0,0.0,0.0,Fructose and mannose metabolism
MAR04400,0.0,0.0,0.0,0.0,Fructose and mannose metabolism
MAR04401,0.0,0.0,0.0,0.0,Fructose and mannose metabolism
MAR04402,0.0,0.0,0.0,0.0,Fructose and mannose metabolism
MAR04403,0.0,0.0,0.0,0.0,Fructose and mannose metabolism
MAR04490,0.0,0.0,0.0,0.0,Fructose and mannose metabolism
MAR04706,0.0,0.0,0.0,0.0,Fructose and mannose metabolism
MAR08768,0.0,0.0,0.0,0.0,Fructose and mannose metabolism
MAR04590,0.0,0.0,0.0,0.0,Pentose and glucuronate interconversions
MAR04591,0.0,0.0,0.0,0.0,Pentose and glucuronate interconversions
MAR04592,0.0,0.0,0.0,0.0,Pentose and glucuronate interconversions
MAR04593,0.0,0.0,0.0,0.0,Pentose and glucuronate interconversions
MAR04594,0.0,0.0,0.0,0.0,Pentose and glucuronate interconversions
MAR04595,0.0,0.0,0.0,0.0,Pentose and glucuronate interconversions
MAR08341,0.0,0.0,0.0,0.0,Pentose and glucuronate interconversions
MAR08342,0.0,0.0,0.0,0.0,Pentose and glucuronate interconversions
MAR08344,0.0,0.0,0.0,0.0,Pentose and glucuronate interconversions
MAR08352,0.0,0.0,0.0,0.0,Pentose and glucuronate interconversions
MAR08353,0.0,0.0,0.0,0.0,Pentose and glucuronate interconversions
MAR08726,0.0,0.0,0.0,0.0,Pentose and glucuronate interconversions
MAR08727,0.0,0.0,0.0,0.0,Pentose and glucuronate interconversions
MAR08728,0.0,0.0,0.0,0.0,Pentose and glucuronate interconversions
MAR08729,0.0,0.0,0.0,0.0,Pentose and glucuronate interconversions
MAR06537,0.0,0.0,0.0,0.0,Pentose and glucuronate interconversions
MAR01568,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR03853,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR03854,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR03855,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR03857,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR03859,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR04087,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR04089,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR04091,1.0113057539930488,0.984809140278008,-0.02649661371504075,-0.03830318455823656,Pyruvate metabolism
MAR04093,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR04095,7.805633075209296e-16,0.0,-7.805633075209296e-16,-1.1261143732165508e-06,Pyruvate metabolism
MAR04101,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR04103,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR04143,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR04193,0.0545201768382704,0.0,-0.0545201768382704,-25.70028693226024,Pyruvate metabolism
MAR08497,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR08498,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR08499,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR08500,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR08501,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR08502,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR08503,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR08504,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR08506,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR08507,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR08508,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR08509,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR08511,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR08512,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR08514,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR08516,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR08517,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR04280,0.0,0.0,0.0,0.0,Pyruvate metabolism
MAR00153,0.0,0.0,0.0,0.0,Propanoate metabolism
MAR03212,0.0,0.0,0.0,0.0,Propanoate metabolism
MAR03797,0.0,0.0,0.0,0.0,Propanoate metabolism
MAR03800,0.0,0.0,0.0,0.0,Propanoate metabolism
MAR04105,0.0,0.0,0.0,0.0,Propanoate metabolism
MAR04106,0.0,0.0,0.0,0.0,Propanoate metabolism
MAR04107,0.0,0.0,0.0,0.0,Propanoate metabolism
MAR04282,0.0,0.0,0.0,0.0,Propanoate metabolism
MAR04331,0.0,0.0,0.0,0.0,Propanoate metabolism
MAR04459,0.0,0.0,0.0,0.0,Propanoate metabolism
MAR04460,0.0,0.0,0.0,0.0,Propanoate metabolism
MAR04464,0.0,0.0,0.0,0.0,Propanoate metabolism
MAR04497,0.0,0.0,0.0,0.0,Propanoate metabolism
MAR04741,0.0,0.0,0.0,0.0,Propanoate metabolism
MAR08078,0.0,0.0,0.0,0.0,Propanoate metabolism
MAR09803,0.0,0.0,0.0,0.0,Propanoate metabolism
MAR09804,0.0,0.0,0.0,0.0,Propanoate metabolism
MAR00718,0.0,0.0,0.0,0.0,Butanoate metabolism
MAR00719,0.0,0.0,0.0,0.0,Butanoate metabolism
MAR01434,0.0,0.0,0.0,0.0,Butanoate metabolism
MAR01436,0.0,0.0,0.0,0.0,Butanoate metabolism
MAR03163,0.0,0.0,0.0,0.0,Butanoate metabolism
MAR04461,-1.0123057539930485,-0.9848091402780076,0.027496613715040863,-0.03972904634169171,Butanoate metabolism
MAR04604,3.0635299945463275,3.068430415845471,0.004900421299143698,0.0023058906242505997,Butanoate metabolism
MAR05351,0.0,0.0,0.0,0.0,Butanoate metabolism
MAR07709,0.0,0.0,0.0,0.0,Butanoate metabolism
MAR04052,0.0,0.0,0.0,0.0,Pentose phosphate pathway
MAR04304,0.0604626876687501,0.0347974921112737,-0.0256651955574764,-0.7970617596259073,Pentose phosphate pathway
MAR04350,8.680277346349813,6.425691504116267,-2.2545858422335456,-0.43388942032939565,Pentose phosphate pathway
MAR04351,0.0,0.0,0.0,0.0,Pentose phosphate pathway
MAR04352,0.0,0.0,0.0,0.0,Pentose phosphate pathway
MAR04354,8.680388508978552,6.425802666745008,-2.2545858422335447,-0.43388293786541654,Pentose phosphate pathway
MAR04398,0.0006120228830914,6.135786255448775,6.135174232565684,13.291372653674136,Pentose phosphate pathway
MAR04404,0.0,0.0,0.0,0.0,Pentose phosphate pathway
MAR04473,0.0,0.0,0.0,0.0,Pentose phosphate pathway
MAR04474,0.0,0.0,0.0,0.0,Pentose phosphate pathway
MAR04476,0.0604626876687501,0.0347974921112737,-0.0256651955574764,-0.7970617596259073,Pentose phosphate pathway
MAR04477,0.0,0.0,0.0,0.0,Pentose phosphate pathway
MAR04501,0.0,0.0,0.0,0.0,Pentose phosphate pathway
MAR04565,0.0,0.0,0.0,0.0,Pentose phosphate pathway
MAR04567,0.0,0.0,0.0,0.0,Pentose phosphate pathway
MAR09799,0.0,0.0,0.0,0.0,Pentose phosphate pathway
MAR09800,0.0,0.0,0.0,0.0,Pentose phosphate pathway
MAR04623,0.0604626876687501,0.0347974921112737,-0.0256651955574764,-0.7970617596259073,Pentose phosphate pathway
MAR04625,0.0,0.0,0.0,0.0,Pentose phosphate pathway
MAR04710,0.0006120228830914,6.135786255448775,6.135174232565684,13.291372653674136,Pentose phosphate pathway
MAR04841,2.5444910909010376,0.289905248667492,-2.2545858422335456,-3.133723777156848,Pentose phosphate pathway
MAR08074,0.0,0.0,0.0,0.0,Pentose phosphate pathway
MAR08653,0.0,0.0,0.0,0.0,Pentose phosphate pathway
MAR03998,0.0,0.0,0.0,0.0,Purine metabolism
MAR04000,0.0,0.0,0.0,0.0,Purine metabolism
MAR04002,0.0,-0.0522946596266586,-0.0522946596266586,25.640160316598156,Purine metabolism
MAR04004,-0.0524926716514322,-0.0004759185966755,0.0520167530547567,-6.785254382884624,Purine metabolism
MAR04010,0.0,0.0,0.0,0.0,Purine metabolism
MAR04081,0.0,0.0,0.0,0.0,Purine metabolism
MAR04082,0.0,0.0,0.0,0.0,Purine metabolism
MAR04012,0.0,0.0,0.0,0.0,Purine metabolism
MAR04014,0.0,0.0,0.0,0.0,Purine metabolism
MAR04020,5.558131437020107e-05,5.558131437020107e-05,0.0,0.0,Purine metabolism
MAR04022,0.0,0.0,0.0,0.0,Purine metabolism
MAR04038,-0.0002721012846227,0.0,0.0002721012846227,-18.05378954421809,Purine metabolism
MAR04040,0.0,0.0,0.0,0.0,Purine metabolism
MAR04042,0.0,0.0,0.0,0.0,Purine metabolism
MAR04046,0.0,0.0,0.0,0.0,Purine metabolism
MAR04048,0.0,0.0,0.0,0.0,Purine metabolism
MAR04080,6.136058356733396,6.084041603678589,-0.05201675305480702,-0.012282185114124974,Purine metabolism
MAR04085,0.0,0.0,0.0,0.0,Purine metabolism
MAR04086,0.0,0.0,0.0,0.0,Purine metabolism
MAR04134,0.0,0.0,0.0,0.0,Purine metabolism
MAR04135,0.0,0.2551260027850487,0.2551260027850487,27.926634712605253,Purine metabolism
MAR04168,0.0,0.0,0.0,0.0,Purine metabolism
MAR04171,0.0,0.0,0.0,0.0,Purine metabolism
MAR04290,0.0,0.0,0.0,0.0,Purine metabolism
MAR04406,0.0,0.0,0.0,0.0,Purine metabolism
MAR04412,0.0,0.0,0.0,0.0,Purine metabolism
MAR04417,0.0,0.0,0.0,0.0,Purine metabolism
MAR04418,0.0,0.0,0.0,0.0,Purine metabolism
MAR04419,0.0,0.0,0.0,0.0,Purine metabolism
MAR04421,0.0,0.0,0.0,0.0,Purine metabolism
MAR04449,0.0,0.0,0.0,0.0,Purine metabolism
MAR04450,0.0,0.0,0.0,0.0,Purine metabolism
MAR04451,0.0,0.2551260027850487,0.2551260027850487,27.926634712605253,Purine metabolism
MAR04452,0.0,0.0,0.0,0.0,Purine metabolism
MAR04453,0.0,0.0,0.0,0.0,Purine metabolism
MAR04480,5.558131437021454e-05,5.558131437020107e-05,-1.3471211993132393e-17,-3.496540028914406e-13,Purine metabolism
MAR04481,0.0,0.0,0.0,0.0,Purine metabolism
MAR04482,0.0,0.0,0.0,0.0,Purine metabolism
MAR04486,0.0,0.0,0.0,0.0,Purine metabolism
MAR04487,0.0,0.0,0.0,0.0,Purine metabolism
MAR04488,0.0,0.0,0.0,0.0,Purine metabolism
MAR04489,0.0,0.0,0.0,0.0,Purine metabolism
MAR04492,0.0,0.0,0.0,0.0,Purine metabolism
MAR04493,0.0,0.0,0.0,0.0,Purine metabolism
MAR04495,0.0,0.0,0.0,0.0,Purine metabolism
MAR04496,0.0,0.0,0.0,0.0,Purine metabolism
MAR04518,0.0,0.0,0.0,0.0,Purine metabolism
MAR04519,0.0,0.0,0.0,0.0,Purine metabolism
MAR04520,0.0,0.0,0.0,0.0,Purine metabolism
MAR04573,0.0771168722777272,0.006138660160018,-0.0709782121177092,-3.6510506146330304,Purine metabolism
MAR04574,0.0,0.0,0.0,0.0,Purine metabolism
MAR04600,0.0524047301716667,0.3075307329567145,0.2551260027850478,2.552961626219919,Purine metabolism
MAR04602,0.0,0.0,0.0,0.0,Purine metabolism
MAR04603,0.0524047301716667,0.2921840825566704,0.2397793523850037,2.4791086196144425,Purine metabolism
MAR04611,0.0092635715543973,0.0092635715543973,0.0,0.0,Purine metabolism
MAR04612,0.0,0.0,0.0,0.0,Purine metabolism
MAR04614,0.0,0.0,0.0,0.0,Purine metabolism
MAR04615,0.0,0.0,0.0,0.0,Purine metabolism
MAR04617,0.0,0.0,0.0,0.0,Purine metabolism
MAR04618,0.0,0.0,0.0,0.0,Purine metabolism
MAR04619,0.0062498227887584,0.0062498227887584,0.0,0.0,Purine metabolism
MAR04621,0.0,0.0,0.0,0.0,Purine metabolism
MAR04632,0.0,0.0,0.0,0.0,Purine metabolism
MAR04646,0.0,0.0,0.0,0.0,Purine metabolism
MAR04648,0.0,0.0,0.0,0.0,Purine metabolism
MAR04649,0.0,0.0,0.0,0.0,Purine metabolism
MAR04650,0.0,0.0,0.0,0.0,Purine metabolism
MAR04651,0.0524047301716667,0.2921840825566704,0.2397793523850037,2.4791086196144425,Purine metabolism
MAR04663,0.0,0.0,0.0,0.0,Purine metabolism
MAR04664,0.0,0.0,0.0,0.0,Purine metabolism
MAR04694,0.0,0.0,0.0,0.0,Purine metabolism
MAR04695,6.083769502394019,0.0,-6.083769502394019,-32.50231834850006,Purine metabolism
MAR04705,0.0,0.0,0.0,0.0,Purine metabolism
MAR04709,0.0,0.0,0.0,0.0,Purine metabolism
MAR04799,0.0,0.0,0.0,0.0,Purine metabolism
MAR04802,0.0,0.0,0.0,0.0,Purine metabolism
MAR04804,0.0,0.0,0.0,0.0,Purine metabolism
MAR04808,0.0,0.0,0.0,0.0,Purine metabolism
MAR04810,0.0,0.0,0.0,0.0,Purine metabolism
MAR04812,0.0,0.0,0.0,0.0,Purine metabolism
MAR04814,-0.0002721012846227,0.0,0.0002721012846227,-18.05378954421809,Purine metabolism
MAR05301,0.0,0.0,0.0,0.0,Purine metabolism
MAR05353,-0.0771724535920974,-0.3075307329567145,-0.2303582793646171,1.994572698692125,Purine metabolism
MAR06601,0.0,0.0,0.0,0.0,Purine metabolism
MAR06602,-4.074627232822706,0.0,4.074627232822706,-31.92402093479885,Purine metabolism
MAR06603,0.0,0.0,0.0,0.0,Purine metabolism
MAR06605,0.0,0.0,0.0,0.0,Purine metabolism
MAR06606,0.0,0.0,0.0,0.0,Purine metabolism
MAR06607,0.0,0.0,0.0,0.0,Purine metabolism
MAR06609,0.0,0.0,0.0,0.0,Purine metabolism
MAR06610,0.0,0.0,0.0,0.0,Purine metabolism
MAR06611,0.0,0.0,0.0,0.0,Purine metabolism
MAR07144,0.0,0.0,0.0,0.0,Purine metabolism
MAR08755,0.0,0.0,0.0,0.0,Purine metabolism
MAR09797,0.0,0.0,0.0,0.0,Purine metabolism
MAR04016,0.0,0.0,0.0,0.0,Purine metabolism
MAR04018,-0.0462660700116478,-0.0462660700116478,0.0,0.0,Purine metabolism
MAR04044,0.0,0.0,0.0,0.0,Purine metabolism
MAR04291,0.0,0.0,0.0,0.0,Purine metabolism
MAR04420,0.0,0.0,0.0,0.0,Purine metabolism
MAR04570,0.0,0.0,0.0,0.0,Purine metabolism
MAR04572,0.0709782121177091,0.0,-0.0709782121177091,-26.080872919102514,Purine metabolism
MAR04006,0.0,0.060801853985275,0.060801853985275,25.85761200329542,Pyrimidine metabolism
MAR04028,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04030,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04670,-0.0310175462091892,0.0,0.0310175462091892,-24.886581270345424,Pyrimidine metabolism
MAR04673,-0.0016372059550318,0.2611427174263823,0.2627799233814141,7.317457966024226,Pyrimidine metabolism
MAR04675,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR06614,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR06615,-0.0248233047348009,0.0,0.0248233047348009,-24.56519191705423,Pyrimidine metabolism
MAR06616,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04635,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR03793,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR03931,0.0155133943431557,0.0155133943431557,0.0,0.0,Pyrimidine metabolism
MAR03969,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR03970,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04008,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04032,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04034,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04036,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04050,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04056,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04059,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04060,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04127,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04177,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04179,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04182,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04183,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04192,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04194,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04210,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04211,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04343,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04345,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04346,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04470,6.136786255448777,6.136786255448776,-8.881784197001252e-16,-1.6017132519074588e-16,Pyrimidine metabolism
MAR04471,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04472,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04484,0.0370580797716262,0.2921840825566694,0.25512600278504316,2.979017519263633,Pyrimidine metabolism
MAR04485,-6.136786255448777,-6.427970338005445,-0.2911840825566685,0.06687993645830392,Pyrimidine metabolism
MAR04510,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04512,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04513,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04514,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04577,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04579,2.5463819476733063,6.135786255448775,3.589404307775469,1.268799391782934,Pyrimidine metabolism
MAR04580,0.9710907489835712,0.9803531222744942,0.009262373290923054,0.013695377608329878,Pyrimidine metabolism
MAR04608,-0.0023899965179186,-0.0023899965179186,0.0,0.0,Pyrimidine metabolism
MAR04575,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04637,-0.0092079902400271,-0.0092079902400271,0.0,0.0,Pyrimidine metabolism
MAR04642,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04643,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04644,0.0462660700116533,0.3013920727966965,0.2551260027850432,2.7036149832493095,Pyrimidine metabolism
MAR04672,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR04676,0.0479032759666848,0.0402493553703141,-0.0076539205963706974,-0.25115863800351845,Pyrimidine metabolism
MAR04736,0.001,0.001,0.0,0.0,Pyrimidine metabolism
MAR04819,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR05299,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR05352,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR05415,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR05416,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR05417,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR06612,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR06613,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR06621,-0.0462660700116486,-0.3013920727966965,-0.2551260027850479,2.703614983249456,Pyrimidine metabolism
MAR06622,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR06623,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR06624,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR06627,-0.0156153144947738,0.0092079902400271,0.024823304734800898,-0.762003352051868,Pyrimidine metabolism
MAR07744,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR08072,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR08637,0.0,0.0,0.0,0.0,Pyrimidine metabolism
MAR03965,0.0,0.0,0.0,0.0,Nucleotide metabolism
MAR03966,0.0,0.0,0.0,0.0,Nucleotide metabolism
MAR03967,0.0,0.0,0.0,0.0,Nucleotide metabolism
