rxn_id,name,subsystem,essential_Blood,drop_Blood,essential_TumorCore,drop_TumorCore,essential_TumorEdge,drop_TumorEdge
MAR04396,"alpha-D-glucose 1,6-phosphomutase",Glycolysis / Gluconeogenesis,False,-2.220446049250313e-16,False,0.0,False,-2.220446049250313e-16
MAR04521,D-Glucose-6-phosphate phosphohydrolase,Glycolysis / Gluconeogenesis,,,,,,
MAR06412,acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase,Glycolysis / Gluconeogenesis,,,,,False,-2.220446049250313e-16
MAR07745,D-glucose 1-epimerase,Glycolysis / Gluconeogenesis,,,,,,
MAR07747,ADP:D-glucose 6-phosphotransferase,Glycolysis / Gluconeogenesis,,,,,,
MAR08360,,Glycolysis / Gluconeogenesis,,,,,,
MAR08652,,Glycolysis / Gluconeogenesis,,,,,,
MAR08757,,Glycolysis / Gluconeogenesis,,,,,,
MAR03989,maltose glucohydrolase,Starch and sucrose metabolism,,,,,,
MAR04122,UDP-glucose:NAD+ 6-oxidoreductase,Starch and sucrose metabolism,,,,,,
MAR04837,"alpha,alpha-trehalose glucohydrolase",Starch and sucrose metabolism,,,,,,
MAR05395,UDP-alpha-D-glucose:glycogenin alpha-D-glucosyltransferase,Starch and sucrose metabolism,,,,,,
MAR05396,,Starch and sucrose metabolism,,,,,,
MAR09727,,Starch and sucrose metabolism,,,,,,
MAR05397,,Starch and sucrose metabolism,,,,,,
MAR05398,,Starch and sucrose metabolism,,,,,,
MAR05399,,Starch and sucrose metabolism,,,,,,
MAR05400,,Starch and sucrose metabolism,,,,,,
MAR05401,,Starch and sucrose metabolism,,,,,,
MAR08568,,Starch and sucrose metabolism,,,,,,
MAR08569,,Starch and sucrose metabolism,,,,,,
MAR08570,,Starch and sucrose metabolism,,,,,,
MAR08571,,Starch and sucrose metabolism,,,,,,
MAR08572,,Starch and sucrose metabolism,,,,,,
MAR08573,,Starch and sucrose metabolism,,,,,,
MAR08574,,Starch and sucrose metabolism,,,,,,
MAR08575,,Starch and sucrose metabolism,,,,,,
MAR08576,,Starch and sucrose metabolism,,,,,,
MAR08577,,Starch and sucrose metabolism,False,-2.220446049250313e-16,,,,
MAR08578,,Starch and sucrose metabolism,False,-2.220446049250313e-16,False,0.0,,
MAR08579,,Starch and sucrose metabolism,,,,,,
MAR08581,,Starch and sucrose metabolism,,,,,,
MAR08591,,Starch and sucrose metabolism,,,False,0.0,,
MAR08592,,Starch and sucrose metabolism,,,,,,
MAR08580,,Starch and sucrose metabolism,False,-2.220446049250313e-16,False,0.0,,
MAR08582,,Starch and sucrose metabolism,False,-2.220446049250313e-16,False,0.0,,
MAR08587,maltose glucohydrolase,Starch and sucrose metabolism,,,,,,
MAR08589,maltose glucohydrolase,Starch and sucrose metabolism,,,,,,
MAR08583,"1,4-alpha-D-Glucan glucohydrolase",Starch and sucrose metabolism,,,,,,
MAR08584,,Starch and sucrose metabolism,,,,,,
MAR08585,3-phospho-D-glyceroyl-phosphate:alpha-D-glucose-1-phosphate 6-phosphotransferase,Starch and sucrose metabolism,,,,,,
MAR03944,UTP:alpha-D-glucose-1-phosphate uridylyltransferase,Galactose metabolism,False,-2.220446049250313e-16,False,0.0,False,-2.220446049250313e-16
MAR04128,UDP-glucose 4-epimerase,Galactose metabolism,,,,,,
MAR04130,,Galactose metabolism,,,,,,
MAR04131,UDP-glucose:alpha-D-galactose-1-phosphate uridylyltransferase,Galactose metabolism,,,,,,
MAR04132,UDP-glucose:alpha-D-galactose-1-phosphate uridylyltransferase,Galactose metabolism,,,,,,
MAR04303,sucrose glucohydrolase,Galactose metabolism,,,,,,
MAR04414,ATP:alpha-D-galactose 1-phosphotransferase,Galactose metabolism,,,,,,
MAR04415,Lactose galactohydrolase,Galactose metabolism,,,,,,
MAR04416,Galactosylglycerol galactohydrolase,Galactose metabolism,,,,,,
MAR04831,Lactose:(acceptor) 3-oxidoreductase,Galactose metabolism,,,,,,
MAR04832,3-Ketolactose galactohydrolase,Galactose metabolism,,,,,,
MAR07674,UDP-alpha-D-galactose:D-glucose 4-beta-D-galactosyltransferase,Galactose metabolism,,,,,,
MAR08761,ATP:D-tagatose 6-phosphotransferase,Galactose metabolism,,,,,,
MAR08762,,Galactose metabolism,,,,,,
MAR08764,,Galactose metabolism,,,,,,
MAR08766,galactitol:NADP+ 1-oxidoreductase,Galactose metabolism,,,,,,
MAR08767,UTP:alpha-D-galactose-1-phosphate uridylyltransferase,Galactose metabolism,,,,,,
MAR00454,ATP:D-glyceraldehyde 3-phosphotransferase,Fructose and mannose metabolism,,,,,,
MAR04297,,Fructose and mannose metabolism,,,,,,
MAR04310,ATP:D-fructose 1-phosphotransferase,Fructose and mannose metabolism,,,,,,
MAR04315,D-Glucitol:NAD+ 2-oxidoreductase,Fructose and mannose metabolism,,,,,,
MAR04316,D-Glucitol:NADP+ 1-oxidoreductase,Fructose and mannose metabolism,,,,,,
MAR04317,,Fructose and mannose metabolism,,,,,,
MAR04318,,Fructose and mannose metabolism,,,,,,
MAR04319,ATP:D-fructose 6-phosphotransferase,Fructose and mannose metabolism,,,False,0.0,,
MAR04320,,Fructose and mannose metabolism,,,,,,
MAR04356,D-fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase,Fructose and mannose metabolism,,,,,,
MAR04383,D-mannose-6-phosphate aldose-ketose-isomerase,Fructose and mannose metabolism,,,,,,
MAR04385,"D-mannose 6-phosphate 1,6-phosphomutase",Fructose and mannose metabolism,,,,,,
MAR04386,GDP:D-mannose-1-phosphate guanylyltransferase,Fructose and mannose metabolism,,,,,,
MAR04387,GTP:alpha-D-mannose-1-phosphate guanylyltransferase,Fructose and mannose metabolism,,,,,,
MAR04399,"GDP-alpha-D-mannose 4,6-hydro-lyase (GDP-4-dehydro-alpha-D-rhamnose-forming)",Fructose and mannose metabolism,,,,,,
MAR04400,"GDP-L-fucose:NADP+ 4-oxidoreductase (3,5-epimerizing)",Fructose and mannose metabolism,,,,,,
MAR04401,GTP:beta-L-fucose-1-phosphate guanylyltransferase,Fructose and mannose metabolism,,,,,,
MAR04402,ATP:6-deoxy-L-galactose 1-phosphotransferase,Fructose and mannose metabolism,,,,,,
MAR04403,L-fucose aldose-ketose-isomerase,Fructose and mannose metabolism,,,,,,
MAR04490,ATP:D-mannose 6-phosphotransferase,Fructose and mannose metabolism,,,,,,
MAR04706,"beta-D-fructose-2,6-bisphosphate 2-phosphohydrolase",Fructose and mannose metabolism,,,,,,
MAR08768,"GDP-L-fucose:NADP+ 4-oxidoreductase (3,5-epimerizing)",Fructose and mannose metabolism,,,,,,
MAR04590,Xylitol:NADP+ 4-oxidoreductase (L-xylulose-forming),Pentose and glucuronate interconversions,,,,,,
MAR04591,xylitol:NAD oxidoreductase,Pentose and glucuronate interconversions,,,,,,
MAR04592,xylitol:NADP+ oxidoreductase,Pentose and glucuronate interconversions,,,,,,
MAR04593,xylitol:NAD+ 2-oxidoreductase (D-xylulose-forming),Pentose and glucuronate interconversions,,,,,,
MAR04594,D-xylose:NADP+ 1-oxidoreductase,Pentose and glucuronate interconversions,,,,,,
MAR04595,ATP:D-xylulose 5-phosphotransferase,Pentose and glucuronate interconversions,False,-2.220446049250313e-16,,,False,-4.440892098500626e-16
MAR08341,L-Arabitol:NADP+ 1-oxidoreductase,Pentose and glucuronate interconversions,,,,,,
MAR08342,L-arabinitol:NAD+ 4-oxidoreductase (L-xylulose-forming),Pentose and glucuronate interconversions,,,,,,
MAR08344,L-gulonate:NADP+ 6-oxidoreductase,Pentose and glucuronate interconversions,,,,,,
MAR08352,L-Gulonate:NAD+ 3-oxidoreductase,Pentose and glucuronate interconversions,,,,,,
MAR08353,3-Dehydro-L-gulonate carboxy-lyase,Pentose and glucuronate interconversions,,,,,,
MAR08726,ATP:D-ribulose 5-phosphotransferase,Pentose and glucuronate interconversions,,,,,,
MAR08727,,Pentose and glucuronate interconversions,,,,,,
MAR08728,,Pentose and glucuronate interconversions,,,,,,
MAR08729,UDP-glucuronate glucuronohydrolase,Pentose and glucuronate interconversions,,,,,,
MAR06537,L-gulonate:NADP+ 6-oxidoreductase,Pentose and glucuronate interconversions,,,,,,
MAR01568,Acetaldehyde:NAD+ oxidoreductase,Pyruvate metabolism,,,,,,
MAR03853,(R)-S-Lactoylglutathione methylglyoxal-lyase (isomerizing),Pyruvate metabolism,,,,,,
MAR03854,Lactaldehyde:NAD+ 1-oxidoreductase,Pyruvate metabolism,,,,,,
MAR03855,"Propane-1,2-diol:NADP+ 1-oxidoreductase",Pyruvate metabolism,,,,,,
MAR03857,(R)-S-Lactoylglutathione hydrolase,Pyruvate metabolism,,,,,,
MAR03859,(R)-Lactate:ferricytochrome-c 2-oxidoreductase,Pyruvate metabolism,,,,,,
MAR04087,(S)-malate:NAD+ oxidoreductase (decarboxylating),Pyruvate metabolism,,,,,,
MAR04089,(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating),Pyruvate metabolism,,,,,,
MAR04091,(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating),Pyruvate metabolism,,,False,0.0,,
MAR04093,Acetyl-CoA hydrolase,Pyruvate metabolism,,,,,,
MAR04095,Acetyl-CoA hydrolase,Pyruvate metabolism,,,,,,
MAR04101,GTP:oxaloacetate carboxy-lyase (adding GTP,Pyruvate metabolism,,,,,,
MAR04103,GTP:oxaloacetate carboxy-lyase (adding GTP,Pyruvate metabolism,,,,,,
MAR04143,Pyruvate:carbon-dioxide ligase (ADP-forming),Pyruvate metabolism,,,,,,
MAR04193,CTP:pyruvate 2-O-phosphotransferase,Pyruvate metabolism,,,False,0.0,,
MAR08497,,Pyruvate metabolism,,,,,,
MAR08498,,Pyruvate metabolism,,,,,,
MAR08499,,Pyruvate metabolism,,,,,,
MAR08500,,Pyruvate metabolism,,,,,,
MAR08501,,Pyruvate metabolism,,,,,,
MAR08502,(R)-Lactaldehyde:NAD+ oxidoreductase (glutathione-formylating),Pyruvate metabolism,,,,,,
MAR08503,,Pyruvate metabolism,,,,,,
MAR08504,(R)-Lactaldehyde:NAD+ 2-oxidoreductase,Pyruvate metabolism,,,,,,
MAR08506,,Pyruvate metabolism,,,,,,
MAR08507,,Pyruvate metabolism,,,,,,
MAR08508,,Pyruvate metabolism,,,,,,
MAR08509,,Pyruvate metabolism,,,,,,
MAR08511,(R)-S-Lactoylglutathione hydrolase,Pyruvate metabolism,,,,,,
MAR08512,(R)-Lactate:NAD+ oxidoreductase,Pyruvate metabolism,,,,,,
MAR08514,(S)-Lactate:ferricytochrome-c 2-oxidoreductase,Pyruvate metabolism,,,,,,
MAR08516,glycerone-phosphate phosphate-lyase (methylglyoxal-forming),Pyruvate metabolism,,,,,,
MAR08517,glycerone-phosphate phosphate-lyase (methylglyoxal-forming),Pyruvate metabolism,,,,,,
MAR04280,(S)-Lactate:NAD+ oxidoreductase,Pyruvate metabolism,False,-2.220446049250313e-16,,,False,-2.220446049250313e-16
MAR00153,Propanoate:CoA ligase (AMP-forming),Propanoate metabolism,,,,,,
MAR03212,,Propanoate metabolism,,,,,False,-2.220446049250313e-16
MAR03797,Propanoate:CoA ligase (AMP-forming),Propanoate metabolism,,,,,,
MAR03800,,Propanoate metabolism,,,,,,
MAR04105,malonyl-CoA carboxy-lyase (acetyl-CoA-forming),Propanoate metabolism,,,,,False,-2.220446049250313e-16
MAR04106,malonyl-CoA carboxy-lyase (acetyl-CoA-forming),Propanoate metabolism,,,,,False,-2.220446049250313e-16
MAR04107,malonyl-CoA carboxy-lyase (acetyl-CoA-forming),Propanoate metabolism,,,,,,
MAR04282,"3-Oxopropanoate:NAD+ oxidoreductase (decarboxylating, CoA-acetylating)",Propanoate metabolism,False,-2.220446049250313e-16,,,,
MAR04331,Propionyladenylate:CoA propionyltransferase,Propanoate metabolism,,,,,,
MAR04459,ATP:propanoate adenylyltransferase,Propanoate metabolism,,,,,,
MAR04460,ATP:propanoate adenylyltransferase,Propanoate metabolism,,,,,,
MAR04464,Acetoacetate carboxy-lyase (acetone-forming),Propanoate metabolism,,,,,,
MAR04497,3-hydroxypropanoate:NAD+ oxidoreductase,Propanoate metabolism,,,,,,
MAR04741,,Propanoate metabolism,,,,,,
MAR08078,"propanoyl-CoA:oxaloacetate C-propanoyltransferase (thioester-hydrolysing, 1-carboxyethyl-forming)",Propanoate metabolism,False,-2.220446049250313e-16,,,,
MAR09803,3-oxopropionyl-CoA:NAD+ oxidoreductase,Propanoate metabolism,,,,,False,-2.220446049250313e-16
MAR09804,3-hydroxypropionyl-CoA:NADP+ oxidoreductase,Propanoate metabolism,,,,,False,-2.220446049250313e-16
MAR00718,2-Hydroxyglutarate:(acceptor) 2-oxidoreductase,Butanoate metabolism,,,,,,
MAR00719,,Butanoate metabolism,,,,,,
MAR01434,acetyl-CoA:acetyl-CoA C-acetyltransferase,Butanoate metabolism,,,,,,
MAR01436,Acetoacetate:CoA ligase (AMP-forming),Butanoate metabolism,,,,,,
MAR03163,"butanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase",Butanoate metabolism,,,,,,
MAR04461,(R)-3-Hydroxybutanoate:NAD+ oxidoreductase,Butanoate metabolism,,,False,0.0,False,-2.220446049250313e-16
MAR04604,"acetyl-CoA:acetoacetyl-CoA C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)",Butanoate metabolism,False,-2.220446049250313e-16,False,0.0,False,-2.220446049250313e-16
MAR05351,2-hydroxybutyrate:NAD+ oxidoreductase,Butanoate metabolism,,,,,,
MAR07709,(3R)-3-hydroxybutanoyl-CoA hydro-lyase,Butanoate metabolism,,,,,,
MAR04052,ATP:D-ribose-5-phosphate diphosphotransferase,Pentose phosphate pathway,,,,,,
MAR04304,D-glucose-6-phosphate:NADP+ 1-oxidoreductase,Pentose phosphate pathway,,,False,0.0,,
MAR04350,ATP:D-ribose 5-phosphotransferase,Pentose phosphate pathway,False,-2.220446049250313e-16,False,0.0,False,2.220446049250313e-16
MAR04351,D-ribose-5-phosphate aldose-ketose-isomerase,Pentose phosphate pathway,,,,,,
MAR04352,D-ribose-5-phosphate aldose-ketose-isomerase,Pentose phosphate pathway,,,,,,
MAR04354,"D-Ribose 1,5-phosphomutase",Pentose phosphate pathway,False,-2.220446049250313e-16,False,0.0,False,0.0
MAR04398,2-deoxy-D-ribose-5-phosphate acetaldehyde-lyase (D-glyceraldehyde-3-phosphate-forming),Pentose phosphate pathway,False,-2.220446049250313e-16,False,0.0,,
MAR04404,D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase,Pentose phosphate pathway,,,,,,
MAR04473,6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating),Pentose phosphate pathway,False,-2.220446049250313e-16,,,False,-2.220446049250313e-16
MAR04474,Phosphogluconate dehydrogenase,Pentose phosphate pathway,,,,,,
MAR04476,ATP:D-gluconate 6-phosphotransferase,Pentose phosphate pathway,,,False,0.0,,
MAR04477,D-Ribulose-5-phosphate 3-epimerase,Pentose phosphate pathway,False,-2.220446049250313e-16,,,False,-2.220446049250313e-16
MAR04501,sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase,Pentose phosphate pathway,,,,,,
MAR04565,sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase,Pentose phosphate pathway,,,,,,
MAR04567,ATP:Sedoheptulose 7-phosphate 1-phosphotransferase,Pentose phosphate pathway,,,,,,
MAR09799,ATP:sedoheptulose 7-phosphate,Pentose phosphate pathway,,,,,,
MAR09800,ATP:sedoheptulose 1-phosphotransferase,Pentose phosphate pathway,,,,,,
MAR04623,"6-Phospho-D-glucono-1,5-lactone lactonohydrolase",Pentose phosphate pathway,,,False,0.0,,
MAR04625,"6-Phospho-D-glucono-1,5-lactone lactonohydrolase",Pentose phosphate pathway,False,-2.220446049250313e-16,,,False,-4.440892098500626e-16
MAR04710,"2-deoxy-D-ribose 1-phosphate 1,5-phosphomutase",Pentose phosphate pathway,False,-2.220446049250313e-16,False,0.0,,
MAR04841,,Pentose phosphate pathway,False,-1.1102230246251565e-15,False,0.0,,
MAR08074,ATP:2-deoxy-D-ribose 5-phosphotransferase,Pentose phosphate pathway,,,,,,
MAR08653,D-glucose-6-phosphate:NAD+ 1-oxidoreductase,Pentose phosphate pathway,,,,,,
MAR03998,ADP phosphohydrolase,Purine metabolism,,,,,,
MAR04000,ATP diphosphate-lyase (cyclizing,Purine metabolism,,,,,,
MAR04002,ATP:AMP phosphotransferase,Purine metabolism,,,,,,
MAR04004,ATP:AMP phosphotransferase,Purine metabolism,False,-2.220446049250313e-16,False,0.0,False,-2.220446049250313e-16
MAR04010,adenosine 5'-monophosphate phosphohydrolase,Purine metabolism,,,,,False,-2.220446049250313e-16
MAR04081,adenosine 5'-monophosphate phosphohydrolase,Purine metabolism,,,,,,
MAR04082,adenosine 5'-monophosphate phosphohydrolase,Purine metabolism,,,,,,
MAR04012,ATP:adenosine 5'-phosphotransferase,Purine metabolism,,,,,,
MAR04014,"adenosine 3',5'-phosphate 5'-nucleotidohydrolase",Purine metabolism,,,,,,
MAR04020,ATP:GMP phosphotransferase,Purine metabolism,False,-2.220446049250313e-16,False,0.0,,
MAR04022,GTP diphosphate-lyase (cyclizing,Purine metabolism,,,,,,
MAR04038,"IMP 1,2-hydrolase (decyclizing)",Purine metabolism,,,False,0.0,,
MAR04040,IMP:NAD+ oxidoreductase,Purine metabolism,,,,,,
MAR04042,IMP:L-aspartate ligase (GDP-forming),Purine metabolism,,,,,,
MAR04046,Xanthosine-5'-phosphate:L-glutamine amido-ligase (AMP-forming),Purine metabolism,,,,,,
MAR04048,"Guanosine 3',5'-cyclic phosphate 5'-nucleotidohydrolase",Purine metabolism,,,,,,
MAR04080,AMP aminohydrolase,Purine metabolism,False,-2.220446049250313e-16,False,-2.220446049250313e-16,,
MAR04085,AMP:diphosphate phospho-D-ribosyltransferase,Purine metabolism,,,,,,
MAR04086,AMP:diphosphate phospho-D-ribosyltransferase,Purine metabolism,,,,,,
MAR04134,GDP phosphohydrolase,Purine metabolism,,,,,,
MAR04135,ATP:GMP phosphotransferase,Purine metabolism,,,,,False,-2.220446049250313e-16
MAR04168,GTP diphosphohydrolase (diphosphate-forming),Purine metabolism,,,,,,
MAR04171,GTP:pyruvate 2-O-phosphotransferase,Purine metabolism,,,,,,
MAR04290,ITP phosphohydrolase,Purine metabolism,,,,,,
MAR04406,5-phosphoribosylamine:diphosphate phospho-alpha-D-ribosyltransferase (glutamate-amidating),Purine metabolism,,,,,,
MAR04412,"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming)",Purine metabolism,,,,,,
MAR04417,inosine 5'-monophosphate phosphohydrolase,Purine metabolism,,,,,,
MAR04418,IMP:diphosphate phospho-D-ribosyltransferase,Purine metabolism,,,,,,
MAR04419,inosine-5'-phosphate:NADP+ oxidoreductase (aminating),Purine metabolism,,,,,,
MAR04421,dATP:pyruvate 2-O-phosphotransferase,Purine metabolism,,,,,,
MAR04449,guanosine 5'-monophosphate phosphohydrolase,Purine metabolism,,,,,,
MAR04450,guanosine 5'-monophosphate phosphohydrolase,Purine metabolism,,,,,,
MAR04451,ATP:guanosine 5'-phosphotransferase,Purine metabolism,,,,,,
MAR04452,GMP:diphosphate 5-phospho-alpha-D-ribosyltransferase,Purine metabolism,,,,,,
MAR04453,Xanthosine-5'-phosphate:ammonia ligase (AMP-forming),Purine metabolism,False,-2.220446049250313e-16,,,,
MAR04480,ATP:dAMP phosphotransferase,Purine metabolism,,,False,0.0,False,-2.220446049250313e-16
MAR04481,Adenosine aminohydrolase,Purine metabolism,,,,,,
MAR04482,Adenosine aminohydrolase,Purine metabolism,,,,,,
MAR04486,ITP:D-glucose 6-phosphotransferase,Purine metabolism,,,,,,
MAR04487,dATP:D-glucose 6-phosphotransferase,Purine metabolism,,,,,,
MAR04488,ITP:D-fructose 6-phosphotransferase,Purine metabolism,,,,,,
MAR04489,dATP:D-fructose 6-phosphotransferase,Purine metabolism,False,-2.220446049250313e-16,,,,
MAR04492,ITP:D-mannose 6-phosphotransferase,Purine metabolism,,,,,,
MAR04493,dATP:D-mannose 6-phosphotransferase,Purine metabolism,,,,,,
MAR04495,ITP:D-glucosamine 6-phosphotransferase,Purine metabolism,,,,,,
MAR04496,dATP:D-glucosamine 6-phosphotransferase,Purine metabolism,,,,,,
MAR04518,Guanine aminohydrolase,Purine metabolism,False,-2.220446049250313e-16,,,,
MAR04519,hypoxanthine:NAD+ oxidoreductase,Purine metabolism,,,,,,
MAR04520,Hypoxanthine:oxygen oxidoreductase,Purine metabolism,,,,,,
MAR04573,dGTP:pyruvate 2-O-phosphotransferase,Purine metabolism,False,-2.220446049250313e-16,False,0.0,False,-2.220446049250313e-16
MAR04574,inosine:phosphate alpha-D-ribosyltransferase,Purine metabolism,False,-2.220446049250313e-16,,,,
MAR04600,ATP:deoxyguanosine 5'-phosphotransferase,Purine metabolism,False,-2.220446049250313e-16,False,0.0,,
MAR04602,2'-deoxyguanosine 5'-monophosphate phosphohydrolase,Purine metabolism,,,,,,
MAR04603,Deoxyguanosine:orthophosphate ribosyltransferase,Purine metabolism,False,-2.220446049250313e-16,False,0.0,False,-2.220446049250313e-16
MAR04611,2'-deoxyadenosine 5'-triphosphate:oxydized-thioredoxin 2'-oxidoreductase,Purine metabolism,False,-2.220446049250313e-16,False,0.0,False,-2.220446049250313e-16
MAR04612,2'-deoxyadenosine 5'-diphosphate:oxidized-thioredoxin 2'-oxidoreductase,Purine metabolism,,,,,,
MAR04614,2'-deoxyguanosine 5'-triphosphate:oxydized-thioredoxin 2'-oxidoreductase,Purine metabolism,,,,,,
MAR04615,2'-deoxyguanosine 5'-diphosphate:oxidized-thioredoxin 2'-oxidoreductase,Purine metabolism,,,,,,
MAR04617,2'-deoxyuridine 5'-triphosphate:oxydized-thioredoxin 2'-oxidoreductase,Purine metabolism,False,-2.220446049250313e-16,,,,
MAR04618,2'-deoxyuridine 5'-triphosphate:oxydized-thioredoxin 2'-oxidoreductase,Purine metabolism,,,,,,
MAR04619,2'-deoxycytidine diphosphate:oxidized-thioredoxin 2'-oxidoreductase,Purine metabolism,False,-2.220446049250313e-16,False,0.0,False,-2.220446049250313e-16
MAR04621,2'-deoxyuridine 5'-diphosphate:oxidized-thioredoxin 2'-oxidoreductase,Purine metabolism,,,,,,
MAR04632,2'-deoxyadenosine 5'-monophosphate phosphohydrolase,Purine metabolism,,,,,,
MAR04646,xanthine:NAD+ oxidoreductase,Purine metabolism,,,,,,
MAR04648,xanthine:NAD+ oxidoreductase,Purine metabolism,False,-2.220446049250313e-16,,,,
MAR04649,Xanthine:oxygen oxidoreductase,Purine metabolism,False,-2.220446049250313e-16,,,,
MAR04650,Xanthine:oxygen oxidoreductase,Purine metabolism,,,,,,
MAR04651,guanosine:phosphate alpha-D-ribosyltransferase,Purine metabolism,False,-2.220446049250313e-16,False,0.0,False,-2.220446049250313e-16
MAR04663,xanthosine:orthophosphate ribosyltransferase,Purine metabolism,False,-2.220446049250313e-16,,,,
MAR04664,XMP:pyrophosphate phosphoribosyltransferase,Purine metabolism,,,,,,
MAR04694,deoxyadenosine aminohydrolase,Purine metabolism,,,,,,
MAR04695,Deoxyadenosine:orthophosphate ribosyltransferase,Purine metabolism,False,-2.220446049250313e-16,False,0.0,,
MAR04705,xanthosine 5'-phosphate phosphohydrolase,Purine metabolism,,,,,,
MAR04709,Deoxyinosine:orthophosphate ribosyltransferase,Purine metabolism,,,,,,
MAR04799,5-Phospho-D-ribosylamine:glycine ligase (ADP-forming),Purine metabolism,,,,,,
MAR04802,2-(Formamido)-N1-(5-phosphoribosyl)acetamidine cyclo-ligase (ADP-forming),Purine metabolism,,,,,,
MAR04804,1-(5-phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate carboxy-lyase,Purine metabolism,,,,,,
MAR04808,5'-Phosphoribosylformylglycinamide:L-glutamine amido-ligase (ADP-forming),Purine metabolism,,,,,,
