rxn_id,flux_Blood,flux_TumorCore,name,subsystem,log2FC_abs_flux,abs_log2FC,mean_abs_flux
MAR12562,0.0,6.125734425372544,formation of deoxy-fluvastatin-dinor,Drug metabolism,32.51223567602262,32.51223567602262,3.062867213686272
MAR12563,0.0,6.125734425372543,exit of deoxy-fluvastatin-dinor into hepatic vein for excretion in urine,Drug metabolism,32.51223567602262,32.51223567602262,3.0628672136862716
MAR12665,0.0,-6.125734425372545,Exchange of fluvastatin,Exchange/demand reactions,32.51223567602262,32.51223567602262,3.0628672136862725
MAR12660,0.0,6.125734425372543,Exchange of deoxy-fluvastatin-dinor,Exchange/demand reactions,32.51223567602262,32.51223567602262,3.0628672136862716
MAR20016,5.530166668446613,0.0,MAR20016,Fatty acid metabolism,-32.36467581537945,32.36467581537945,2.7650833352233066
MAR01528,-5.530166668446611,0.0,Sodium/Ammonium Proton Antiporter,Transport reactions,-32.36467581537945,32.36467581537945,2.7650833352233057
MAR09827,5.530166668446612,0.0,Transport of Ethanolamine Phosphate,Transport reactions,-32.36467581537945,32.36467581537945,2.765083335223306
MAR09849,-5.530166668446611,0.0,Exchange of ethanolamine-phosphate,Exchange/demand reactions,-32.36467581537945,32.36467581537945,2.7650833352233057
MAR08240,5.530166668446613,0.0,,Transport reactions,-32.36467581537945,32.36467581537945,2.7650833352233066
MAR00748,5.530166668446613,0.0,Sphinganine-1-phosphate pamlmitaldehyde-lyase,Sphingolipid metabolism,-32.36467581537945,32.36467581537945,2.7650833352233066
MAR09410,5.530166668446613,0.0,Exchange of sphinganine-1-phosphate,Exchange/demand reactions,-32.36467581537945,32.36467581537945,2.7650833352233066
MAR05035,-5.529166668446611,0.0,,Transport reactions,-32.36441491447329,32.36441491447329,2.7645833352233056
MAR05411,-5.420486246971842,0.0,,Transport reactions,-32.33577512919495,32.33577512919495,2.710243124485921
MAR04926,5.420486246971842,0.0,,Transport reactions,-32.33577512919495,32.33577512919495,2.710243124485921
MAR04280,5.420486246971842,0.0,(S)-Lactate:NAD+ oxidoreductase,Pyruvate metabolism,-32.33577512919495,32.33577512919495,2.710243124485921
MAR06356,0.0,5.160323357832682,,Transport reactions,32.26481432536497,32.26481432536497,2.580161679916341
MAR08076,4.742500494533176,0.0,,Transport reactions,-32.14300077836697,32.14300077836697,2.371250248266588
MAR06063,4.580463674031657,0.0,,Transport reactions,-32.09284650204855,32.09284650204855,2.2902318380158286
MAR12306,-4.580463674031657,0.0,Ursodeoxycholic acid transport via bicarbonate countertransport,Transport reactions,-32.09284650204855,32.09284650204855,2.2902318380158286
MAR11318,0.0,-4.404988209352811,Proton Diffusion,Transport reactions,32.036491011863326,32.036491011863326,2.2024941056764056
MAR06602,0.0,-4.074627232822706,,Purine metabolism,31.92402093479885,31.92402093479885,2.037313617411353
MAR04392,0.0,-4.074627232822706,Exchange of alloxan,Exchange/demand reactions,31.92402093479885,31.92402093479885,2.037313617411353
MAR12752,0.0,-4.074627232822706,passive diffusion of ibuprofen_S,Drug metabolism,31.92402093479885,31.92402093479885,2.037313617411353
MAR09639,0.0,-4.074627232822706,,Transport reactions,31.92402093479885,31.92402093479885,2.037313617411353
MAR12751,0.0,4.074627232822706,uptake of ibuprofen-S into hepatocytes,Drug metabolism,31.92402093479885,31.92402093479885,2.037313617411353
MAR09075,-1.682271850878791e-20,4.074627232822706,Exchange of urate,Exchange/demand reactions,31.924020934774582,31.924020934774582,2.037313617411353
MAR10898,0.0,-4.060933904010146,"Transport of ProGluLys, Extracellular",Transport reactions,31.919164400408786,31.919164400408786,2.030466953005073
MAR11140,0.0,-4.060933904010145,Metabolism (Formation/Degradation) of ProGluLys,Peptide metabolism,31.919164400408786,31.919164400408786,2.0304669530050727
MAR10656,0.0,4.060933904010146,Exchange of Prolyl-Glutamatsyl-Lysine,Exchange/demand reactions,31.919164400408786,31.919164400408786,2.030466953005073
MAR03949,0.0,3.967205630953016,,Transport reactions,31.885476032540854,31.885476032540854,1.983602816476508
MAR09984,3.8360630100699886,0.0,"Transport of 5, 6-Dihydrouracil, Diffusion",Transport reactions,-31.83697927220768,31.83697927220768,1.9180315060349944
MAR10193,3.8360630100699886,0.0,"Exchange of 5,6-Dihydrouracil",Exchange/demand reactions,-31.83697927220768,31.83697927220768,1.9180315060349944
MAR09310,-3.765460380630938,0.0,Exchange of deoxyuridine,Exchange/demand reactions,-31.81017911986376,31.81017911986376,1.882730191315469
MAR05008,-3.765460380630938,0.0,,Transport reactions,-31.81017911986376,31.81017911986376,1.882730191315469
MAR04680,-3.7581612452652697,0.0,deoxyuridine:orthophosphate 2-deoxy-D-ribosyltransferase,Nucleotide metabolism,-31.807379821807732,31.807379821807732,1.879080623632635
MAR08949,0.0,-3.685273982982263,Exchange of Leucylleucine,Exchange/demand reactions,31.77912473535237,31.77912473535237,1.8426369924911317
MAR10485,0.0,-3.685273982982263,"Transport of Leucylleucine, Reversible",Transport reactions,31.77912473535237,31.77912473535237,1.8426369924911317
MAR07149,0.0,3.685273982982263,Hydrolysis of Leucylleucine,Transport reactions,31.77912473535237,31.77912473535237,1.8426369924911317
MAR11937,0.0,3.626381442619264,Assumed Passive Diffusion into Extracellular Space,Transport reactions,31.75588353799681,31.75588353799681,1.8131907223096322
MAR11938,0.0,3.626381442619264,Exchange of S-adenosylmethioninamine,Exchange/demand reactions,31.75588353799681,31.75588353799681,1.8131907223096322
MAR04073,0.0,3.6263814426192647,S-adenosyl-L-methionine carboxy-lyase [S-adenosyl 3-(methylsulfanyl)propylamine-forming],Arginine and proline metabolism,31.75588353799681,31.75588353799681,1.8131907223096324
MAR09026,-6.086838561703305e-17,-3.6263814426192647,Exchange of SAH,Exchange/demand reactions,31.755883450182296,31.755883450182296,1.8131907223096324
MAR09006,6.086838561703305e-17,3.6263814426192647,Transport of S-Adenosyl-L-Homocysteine,Transport reactions,31.755883450182296,31.755883450182296,1.8131907223096324
MAR08077,0.0,3.6081476921568014,,Transport reactions,31.748611247963115,31.748611247963115,1.8040738470784008
MAR04345,-3.5816620223427007,0.0,"5,6-Dihydrouracil:NADP+ oxidoreductase",Pyrimidine metabolism,-31.737982060586436,31.737982060586436,1.7908310121713504
MAR05043,0.0,3.439417021739576,,Transport reactions,31.679516904472425,31.679516904472425,1.7197085118697881
MAR08427,0.0,-3.437583125755884,,Arginine and proline metabolism,31.6787474548152,31.6787474548152,1.718791563877942
MAR08428,0.0,3.437583125755884,,Transport reactions,31.6787474548152,31.6787474548152,1.718791563877942
MAR08430,0.0,3.4375831257558844,,Transport reactions,31.6787474548152,31.6787474548152,1.7187915638779423
MAR00079,0.0,3.4309225390529274,Arginine Mitochondrial Transport via Ornithine Carrier,Transport reactions,31.675949408519834,31.675949408519834,1.7154612705264638
MAR08426,0.0,3.430922539052928,L-Arginine amidinohydrolase,Arginine and proline metabolism,31.675949408519834,31.675949408519834,1.715461270526464
MAR04951,0.0,-3.430922539052928,,Transport reactions,31.675949408519834,31.675949408519834,1.715461270526464
MAR06318,0.0,3.430922539052928,,Transport reactions,31.675949408519834,31.675949408519834,1.715461270526464
MAR05042,-3.387572458293782,0.0,,Transport reactions,-31.65760465965448,31.65760465965448,1.6937862301468911
MAR09358,3.3875724582937816,0.0,Exchange of hypoxanthine,Exchange/demand reactions,-31.65760465965448,31.65760465965448,1.693786230146891
MAR04574,3.3875724582937816,0.0,inosine:phosphate alpha-D-ribosyltransferase,Purine metabolism,-31.65760465965448,31.65760465965448,1.693786230146891
MAR04848,3.3875724582937816,0.0,,Transport reactions,-31.65760465965448,31.65760465965448,1.693786230146891
MAR09362,-3.387572458293782,-8.288465725438655e-18,Exchange of inosine,Exchange/demand reactions,-31.65760464769675,31.65760464769675,1.6937862301468911
MAR04896,-3.358205735015813,0.0,,Transport reactions,-31.645043471764954,31.645043471764954,1.6791028685079066
MAR02382,0.0,3.351780259535688,Utilized Transport,Transport reactions,31.64228042443555,31.64228042443555,1.675890130767844
MAR07642,0.0,-3.0786681077214126,alanine racemase,"Alanine, aspartate and glutamate metabolism",31.519659202138744,31.519659202138744,1.5393340548607064
MAR09098,0.0,3.0786681077214126,Exchange of D-alanine,Exchange/demand reactions,31.519659202138744,31.519659202138744,1.5393340548607064
MAR07779,0.0,3.0713674235311883,,Transport reactions,31.516233964750462,31.516233964750462,1.5356837127655942
MAR07777,2.2569532086231197e-18,3.0713674235311883,,Transport reactions,31.51623396149437,31.51623396149437,1.5356837127655942
MAR08769,0.0,2.773945778012082,,Glutathione metabolism,31.369292442255244,31.369292442255244,1.3869728900060412
MAR09338,0.0,2.773945778012082,Exchange of (5-L-glutamyl)-L-amino acid,Exchange/demand reactions,31.369292442255244,31.369292442255244,1.3869728900060412
MAR04329,0.0,2.773945778012082,L-cysteinylglycine dipeptidase,Glutathione metabolism,31.369292442255244,31.369292442255244,1.3869728900060412
MAR03988,2.743246327571449,0.0,chitobiose N-acetylglucosaminohydrolase,Amino sugar and nucleotide sugar metabolism,-31.35323702814202,31.35323702814202,1.3716231647857247
MAR04142,-2.743246327571449,0.0,Exchange of chitobiose,Exchange/demand reactions,-31.35323702814202,31.35323702814202,1.3716231647857247
MAR03987,2.743246327571449,0.0,,Transport reactions,-31.35323702814202,31.35323702814202,1.3716231647857247
MAR03946,0.0,2.7284160663437675,,Transport reactions,31.34541651760175,31.34541651760175,1.3642080341718839
MAR06918,0.0,2.7274656086246107,,Oxidative phosphorylation,31.3449138598342,31.3449138598342,1.3637328053123055
MAR09065,0.0,2.6614941455942587,Exchange of cysteine,Exchange/demand reactions,31.309589247343883,31.309589247343883,1.3307470737971294
MAR08408,0.0,-2.64881810460121,,Transport reactions,31.302701631194353,31.302701631194353,1.324409053300605
MAR09073,0.0,2.64681810460121,Exchange of NH3,Exchange/demand reactions,31.301611907465652,31.301611907465652,1.323409053300605
MAR10534,-2.5765841853290987,0.0,Exchange of Aspartyl-Glutamate,Exchange/demand reactions,-31.262812585314887,31.262812585314887,1.2882920936645494
MAR10776,2.5765841853290987,0.0,"Transport of AspGlu, Extracellular",Transport reactions,-31.262812585314887,31.262812585314887,1.2882920936645494
MAR11018,2.5765841853290987,0.0,Metabolism (Formation/Degradation) of AspGlu,Peptide metabolism,-31.262812585314887,31.262812585314887,1.2882920936645494
MAR04905,2.4689258908595693,0.0,,Transport reactions,-31.20123638667948,31.20123638667948,1.2344629464297847
MAR20161,2.468181662528337,0.0,MAR20161,Transport reactions,-31.20080143786832,31.20080143786832,1.2340908322641686
MAR07886,-2.4056895276466213,0.0,ATP:dTDP phosphotransferase,Nucleotide metabolism,-31.163803318452057,31.163803318452057,1.2028447648233107
MAR07638,0.0,2.385700519751066,,Transport reactions,31.151765805508745,31.151765805508745,1.1928502608755331
MAR06614,2.3807921215496144,0.0,,Pyrimidine metabolism,-31.148794512032826,31.148794512032826,1.1903960617748073
MAR04489,2.365193850818277,0.0,dATP:D-fructose 6-phosphotransferase,Purine metabolism,-31.13931128600578,31.13931128600578,1.1825969264091385
MAR04652,0.0,-2.307472918922957,succinate:quinone oxidoreductase,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,31.10366657075347,31.10366657075347,1.1537364604614786
MAR04408,0.0,2.305916642120592,(S)-malate hydro-lyase (fumarate-forming),Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,31.10269321574865,31.10269321574865,1.1529583220602961
MAR04855,0.0,-2.298746652566836,,Transport reactions,31.09820032840116,31.09820032840116,1.1493733272834181
MAR04152,0.0,2.298746652566836,Succinate:CoA ligase (ADP-forming),Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,31.09820032840116,31.09820032840116,1.1493733272834181
MAR05032,-2.058213594928566,0.0,,Transport reactions,-30.938745563038673,30.938745563038673,1.029106798464283
MAR04145,2.053570840907456,0.0,acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing),Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,-30.935487570724074,30.935487570724074,1.026785421453728
MAR06000,0.0,2.051224240553281,,Transport reactions,30.93383807105655,30.93383807105655,1.0256121212766405
MAR03957,2.0324238117027287,0.0,isocitrate:NAD+ oxidoreductase (decarboxylating),Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,-30.920554126534505,30.920554126534505,1.0162119068513644
MAR04589,2.0324238117027287,0.0,isocitrate hydro-lyase (cis-aconitate-forming),Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,-30.920554126534505,30.920554126534505,1.0162119068513644
MAR08987,1.714803473933509,0.0,"Diphopshate Transporter, Mitochondrial",Transport reactions,-30.67539609978088,30.67539609978088,0.8574017379667546
MAR10493,0.0,-1.6434329716941098,Exchange of maltotetraose,Exchange/demand reactions,30.614065471381828,30.614065471381828,0.821716486847055
MAR01706,0.0,1.535628130451224,"(24R,25R)-3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA hydro-lyase [(24E)-3alpha,7alpha-Dihydroxy-5beta-cholest-24-enoyl-CoA-forming]",Bile acid biosynthesis,30.516181748518868,30.516181748518868,0.7678140662256121
MAR01456,0.0,1.535628130451224,Hydroxysteroid (17-Beta) Dehydrogenase 4,Bile acid biosynthesis,30.516181748518868,30.516181748518868,0.7678140662256121
MAR04900,0.0,-1.5232131671969302,,Transport reactions,30.504470709915378,30.504470709915378,0.7616065845984652
MAR09956,1.4633293541085397,0.0,Exchange of 3-Methyl-Thio-Propionate,Exchange/demand reactions,-30.44660737090297,30.44660737090297,0.7316646780542699
MAR09955,1.4633293541085397,0.0,Secretion of 3-Methyl-Thio-Propionate,Transport reactions,-30.44660737090297,30.44660737090297,0.7316646780542699
MAR09954,1.4633293541085397,0.0,Methionine Decarboxylase,Cysteine and methionine metabolism,-30.44660737090297,30.44660737090297,0.7316646780542699
MAR09953,1.4633293541085397,0.0,Methionine Transaminase,Cysteine and methionine metabolism,-30.44660737090297,30.44660737090297,0.7316646780542699
MAR03763,0.0,1.4493271297525216,(S)-Methylmalonyl-CoA hydrolase,"Valine, leucine, and isoleucine metabolism",30.432736119445604,30.432736119445604,0.7246635658762609
MAR03215,0.0,1.4493271297525216,(R)-Methylmalonyl-CoA CoA-carbonylmutase,"Valine, leucine, and isoleucine metabolism",30.432736119445604,30.432736119445604,0.7246635658762609
MAR05122,0.0,1.4303298720423232,,Transport reactions,30.41370076415048,30.41370076415048,0.7151649370211617
MAR10036,0.0,1.4232477585209833,acyl-CoA pool formation and breakdown,Pool reactions,30.40653968262415,30.40653968262415,0.7116238802604917
MAR12867,-1.3824783336482624,0.0,uptake of torasemide into hepatocytes via OAT1,Drug metabolism,-30.36460972559241,30.36460972559241,0.6912391678241313
MAR09259,-1.3824783336482624,0.0,Exchange of AKG,Exchange/demand reactions,-30.36460972559241,30.36460972559241,0.6912391678241313
MAR12868,1.3824783336482624,0.0,uptake of torasemide into enterocytes via diffusion,Drug metabolism,-30.36460972559241,30.36460972559241,0.6912391678241313
MAR06914,0.0,1.3637328043123056,ferrocytochrome-c:oxygen oxidoreductase,Oxidative phosphorylation,30.344913860363153,30.344913860363153,0.6818664031561529
MAR06932,0.0,1.323409052300605,,Arginine and proline metabolism,30.301611908010717,30.301611908010717,0.6617045271503026
MAR06935,0.0,1.323409052300605,,Arginine and proline metabolism,30.301611908010717,30.301611908010717,0.6617045271503026
MAR09715,0.0,-1.323409052300605,Exchange of spermine,Exchange/demand reactions,30.301611908010717,30.301611908010717,0.6617045271503026
MAR09692,0.0,1.323409052300605,Exchange of spermine dialdehyde,Exchange/demand reactions,30.301611908010717,30.301611908010717,0.6617045271503026
MAR10137,1.3034800934544657,0.0,"Transport of Lipoxin B4, Proton Symport",Transport reactions,-30.27972140552018,30.27972140552018,0.6517400477272329
MAR01013,1.3034800934544657,0.0,,Arachidonic acid metabolism,-30.27972140552018,30.27972140552018,0.6517400477272329
MAR10212,1.3034800934544657,0.0,Exchange of lipoxin B4,Exchange/demand reactions,-30.27972140552018,30.27972140552018,0.6517400477272329
MAR06916,0.0,1.2141046546222545,ATP phosphohydrolase,Oxidative phosphorylation,30.177245641016057,30.177245641016057,0.6070523283111273
MAR09061,1.127126179101058,0.0,Exchange of alanine,Exchange/demand reactions,-30.070001886103455,30.070001886103455,0.5635630905505291
MAR04914,0.0,-1.0738274058810051,,Transport reactions,30.000114985814008,30.000114985814008,0.5369137039405026
MAR04852,-1.0603177435557114,0.0,,Transport reactions,-29.98184951481481,29.98184951481481,0.5301588727778558
MAR04461,0.0,-1.0123057539930485,(R)-3-Hydroxybutanoate:NAD+ oxidoreductase,Butanoate metabolism,29.91499795883002,29.91499795883002,0.5061528779965243
MAR05426,0.0,1.0123057539930485,,Transport reactions,29.91499795883002,29.91499795883002,0.5061528779965243
MAR06021,0.0,1.012305753993049,,Transport reactions,29.91499795883002,29.91499795883002,0.5061528779965245
MAR05015,0.0,1.0123057539930485,,Transport reactions,29.91499795883002,29.91499795883002,0.5061528779965243
MAR09134,0.0,1.012305753993049,Exchange of (R)-3-hydroxybutanoate,Exchange/demand reactions,29.91499795883002,29.91499795883002,0.5061528779965245
MAR04091,0.0,1.0113057539930488,(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating),Pyruvate metabolism,29.913572097046565,29.913572097046565,0.5056528779965245
MAR09260,-0.9741060681470172,0.0,Exchange of beta-alanine,Exchange/demand reactions,-29.859503633152634,29.859503633152634,0.48705303507350856
MAR04953,0.9741060681470172,0.0,,Transport reactions,-29.859503633152634,29.859503633152634,0.48705303507350856
MAR04330,-0.9741060681470172,0.0,beta-alanine:2-oxoglutarate aminotransferase,Beta-alanine metabolism,-29.859503633152634,29.859503633152634,0.48705303507350856
MAR04282,0.9741060681470172,0.0,"3-Oxopropanoate:NAD+ oxidoreductase (decarboxylating, CoA-acetylating)",Propanoate metabolism,-29.859503633152634,29.859503633152634,0.48705303507350856
MAR04952,0.9741060681470172,0.0,,Transport reactions,-29.859503633152634,29.859503633152634,0.48705303507350856
MAR04874,0.0,0.9723628502681904,,Transport reactions,29.856919535934363,29.856919535934363,0.48618142613409515
MAR03804,0.0,0.9723628502681904,L-glutamate:NADP+ oxidoreductase (deaminating),"Alanine, aspartate and glutamate metabolism",29.856919535934363,29.856919535934363,0.48618142613409515
MAR04872,-0.9721060681470172,0.0,,Transport reactions,-29.85653849791306,29.85653849791306,0.48605303507350855
MAR04870,0.9721060681470172,0.0,,Transport reactions,-29.85653849791306,29.85653849791306,0.48605303507350855
MAR04868,0.972106068147017,0.0,,Transport reactions,-29.85653849791306,29.85653849791306,0.4860530350735085
MAR11145,0.0,0.9298083585335994,Metabolism (Formation/Degradation) of ProPhe,Peptide metabolism,29.792358155705887,29.792358155705887,0.4649041802667997
MAR10903,0.0,0.9298083585335994,"Transport of ProPhe, Extracellular",Transport reactions,29.792358155705887,29.792358155705887,0.4649041802667997
MAR10661,0.0,-0.9298083585335994,Exchange of Prolyl-Phenylalanine,Exchange/demand reactions,29.792358155705887,29.792358155705887,0.4649041802667997
MAR09044,-0.9288627243771588,0.0,Exchange of threonine,Exchange/demand reactions,-29.790890158665658,29.790890158665658,0.46443136318857936
MAR05091,0.9288627243771588,0.0,,Transport reactions,-29.790890158665658,29.790890158665658,0.46443136318857936
MAR10848,0.0,-0.9008812489303782,"Transport of LeuAspLys, Extracellular",Transport reactions,29.746761708170595,29.746761708170595,0.4504406254651891
MAR10606,0.0,0.9008812489303782,Exchange of Leucyl-Aspartyl-Lysine,Exchange/demand reactions,29.746761708170595,29.746761708170595,0.4504406254651891
MAR11090,0.0,-0.900881248930378,Metabolism (Formation/Degradation) of LeuAspLys,Peptide metabolism,29.746761708170595,29.746761708170595,0.450440625465189
MAR11579,0.8961562316987155,0.0,"Transport of 15(S)-HEPE, Diffusion",Transport reactions,-29.739175027644208,29.739175027644208,0.4480781168493577
MAR10232,-0.8961562316987154,0.0,Exchange of 15(S)-HEPE,Exchange/demand reactions,-29.739175027644208,29.739175027644208,0.44807811684935767
MAR03898,-0.8958957640309744,0.0,,Eicosanoid metabolism,-29.738755647608713,29.738755647608713,0.44794788301548716
MAR01010,-0.8953748286954919,0.0,,Arachidonic acid metabolism,-29.73791652162906,29.73791652162906,0.4476874153477459
MAR11307,0.0,0.8953442014737147,5-Aminolevulinate Transport in via Proton Symport,Transport reactions,29.737867171909553,29.737867171909553,0.44767210173685734
MAR10428,0.0,-0.8943442014737145,Exchange of 5-aminolevulinate,Exchange/demand reactions,29.73625494132568,29.73625494132568,0.44717210173685723
MAR04891,0.0,-0.8581457891704355,Exchange of Succinyl Carnitine,Exchange/demand reactions,29.67664752674023,29.67664752674023,0.4290728955852177
MAR11258,0.0,0.8581457891704355,Transport of Succinyl Carnitine,Transport reactions,29.67664752674023,29.67664752674023,0.4290728955852177
MAR05456,0.0,-0.849419522814314,Succ->C4Dcc,Fatty acid oxidation,29.66190202835212,29.66190202835212,0.42470976240715697
MAR07757,0.0,0.8494195228143141,,Transport reactions,29.66190202835212,29.66190202835212,0.424709762407157
MAR09068,0.7422670749861792,0.0,Exchange of proline,Exchange/demand reactions,-29.467363137148762,29.467363137148762,0.37113353849308955
MAR10666,0.0,-0.7302261472086078,Exchange of Prolyl-Valyl-Glutamine,Exchange/demand reactions,29.443768089355487,29.443768089355487,0.36511307460430387
MAR11150,0.0,0.7302261472086077,Metabolism (Formation/Degradation) of ProValGln,Peptide metabolism,29.443768089355487,29.443768089355487,0.3651130746043038
MAR10908,0.0,0.7302261472086078,"Transport of ProValGln, Extracellular",Transport reactions,29.443768089355487,29.443768089355487,0.36511307460430387
MAR00011,0.0,0.6670759959681185,,Pool reactions,29.313275889629253,29.313275889629253,0.3335379989840592
MAR09438,0.0,-0.6437046937698019,Exchange of urea,Exchange/demand reactions,29.26182375007859,29.26182375007859,0.3218523478849009
MAR04949,0.0,-0.643704693769773,,Transport reactions,29.261823750078527,29.261823750078527,0.3218523478848865
MAR04293,-0.591298462704569,0.0,Exchange of maltopentaose,Exchange/demand reactions,-29.139311287835685,29.139311287835685,0.29564923235228446
MAR08577,0.591298462704569,0.0,,Starch and sucrose metabolism,-29.139311287835685,29.139311287835685,0.29564923235228446
MAR05029,-0.5912984627045692,0.0,,Transport reactions,-29.139311287835685,29.139311287835685,0.2956492323522846
MAR04381,-0.5792746142363553,0.0,D-glucose-6-phosphate aldose-ketose-isomerase,Glycolysis / Gluconeogenesis,-29.10967220423111,29.10967220423111,0.2896373081181776
MAR00408,0.5128600867795543,0.0,,Transport reactions,-28.93399006018014,28.93399006018014,0.2564300443897771
MAR06513,-0.5077162790587344,0.0,,Transport reactions,-28.91944728031167,28.91944728031167,0.25385814052936717
MAR00943,0.506934876055511,0.0,,Arachidonic acid metabolism,-28.917225183677477,28.917225183677477,0.2534674390277555
MAR10214,0.5066744083877699,0.0,"Exchange of 5,6-EET",Exchange/demand reactions,-28.91648372357868,28.91648372357868,0.2533372051938849
MAR10142,0.5066744083877699,0.0,"Transport of 5, 6-EET, Diffusion",Transport reactions,-28.91648372357868,28.91648372357868,0.2533372051938849
MAR05475,0.4867219394316719,0.0,,Transport reactions,-28.858522568929047,28.858522568929047,0.24336097071583598
MAR09067,-0.4801394430843864,0.0,Exchange of glycine,Exchange/demand reactions,-28.838878219251686,28.838878219251686,0.24006972254219322
MAR11932,0.0,0.4471721007368575,Exchange of porphobilinogen,Exchange/demand reactions,28.73625494293881,28.73625494293881,0.22358605136842877
MAR04744,0.0,0.4471721007368573,5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing,Porphyrin metabolism,28.73625494293881,28.73625494293881,0.22358605136842868
MAR11931,0.0,0.4471721007368575,Assumed Passive Diffusion into Extracellular Space,Transport reactions,28.73625494293881,28.73625494293881,0.22358605136842877
MAR10234,-0.4081052647589737,0.0,"Exchange of 14,15-DiHETE",Exchange/demand reactions,-28.604366084826857,28.604366084826857,0.20405263337948687
MAR11580,0.4081052647589737,0.0,"Transport of 14, 15-DIHETE, Diffusion",Transport reactions,-28.604366084826857,28.604366084826857,0.20405263337948687
MAR11049,0.3743284648761375,0.0,Metabolism (Formation/Degradation) of GluLeu,Peptide metabolism,-28.479729521514713,28.479729521514713,0.1871642334380688
MAR10565,-0.3743284648761376,0.0,Exchange of Glutamyl-Leucine,Exchange/demand reactions,-28.479729521514713,28.479729521514713,0.18716423343806882
MAR10807,0.3743284648761376,0.0,"Transport of GluLeu, Extracellular",Transport reactions,-28.479729521514713,28.479729521514713,0.18716423343806882
MAR02379,0.0,0.3384038619471464,Postulated Transport Reaction,Transport reactions,28.334170796300505,28.334170796300505,0.16920193197357322
MAR09918,0.0,0.3384038619471464,Transport of Palmitoleoyl-Carnitine,Transport reactions,28.334170796300505,28.334170796300505,0.16920193197357322
