subsystem,mean_abs_flux_rich,mean_abs_flux_TME,delta_mean_abs_flux,log2FC_TME_vs_rich
Fatty acid elongation (even-chain),0.00022771964136332007,0.00010788382020792001,-0.00011983582115540006,-1.077773181530215
Beta oxidation of odd-chain fatty acids (peroxisomal),0.0010051830076231,0.0004789351415111,-0.0005262478661120001,-1.0695544098361436
Fatty acid elongation (odd-chain),0.0009265959724816334,0.0004509709060047,-0.0004756250664769334,-1.0389044072347886
Acyl-CoA hydrolysis,0.008114141614474284,0.004030682248851338,-0.004083459365622946,-1.0094142461415305
Heparan sulfate degradation,0.00275950286352171,0.00141848476558275,-0.00134101809793896,-0.9600572320880892
Carnitine shuttle (peroxisomal),0.001090783294515175,0.0020349096646195626,0.0009441263701043877,0.8995996264833255
"Alanine, aspartate and glutamate metabolism",0.4293804130486336,0.23507433580116394,-0.19430607724746968,-0.8691393372062999
Fatty acid biosynthesis (even-chain),0.0005384439829613125,0.0009805737216690626,0.0004421297387077501,0.8648286296047851
Sphingolipid metabolism,0.03682523519225802,0.020415706495704018,-0.016409528696554,-0.8510152142742883
ROS detoxification,0.796385963698719,0.46113221797131176,-0.3352537457274072,-0.7882873262762301
Drug metabolism,0.0677935779589303,0.04369750976181428,-0.024096068197116023,-0.6335975369318765
Carnitine shuttle (cytosolic),0.008630679625096675,0.005973165792102727,-0.0026575138329939475,-0.5309783289012607
Glycolysis / Gluconeogenesis,3.9367841523738387,3.0793332077712705,-0.8574509446025682,-0.3543996272453821
"Valine, leucine, and isoleucine metabolism",0.06545154410708676,0.08287929133599481,0.017427747228908053,0.34058443453175846
Bile acid biosynthesis,0.011997141110861372,0.01508673428927481,0.0030895931784134384,0.3305898696810704
Leukotriene metabolism,2.3529411764705904e-05,2.941176470588176e-05,5.882352941175857e-06,0.3219158324485226
Pentose phosphate pathway,1.0062641843078273,1.21742887162342,0.2111646873155928,0.27482836533991456
Pyrimidine metabolism,0.3729120521935329,0.43745986853089747,0.06454781633736456,0.23031524871124875
Glutathione metabolism,0.3263465621190685,0.38020965171669324,0.05386308959762476,0.22039031361201544
Omega-3 fatty acid metabolism,0.00022118039490528783,0.00019495203947615764,-2.6228355429130186e-05,-0.1821033879346664
"Glycine, serine and threonine metabolism",0.2681949627271884,0.3022215843644832,0.03402662163729481,0.1723245588090413
Exchange/demand reactions,0.18878897008334883,0.16883225191743592,-0.019956718165912907,-0.16118394991818863
Miscellaneous,0.09740653170590127,0.10864090847837385,0.011234376772472576,0.15747702511405076
Pyruvate metabolism,0.03134782149503883,0.02896497471405906,-0.002382846780979768,-0.11405577761881805
Transport reactions,0.09387302443902457,0.087839532243335,-0.006033492195689563,-0.09584026849555657
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.6391788396233314,0.6804795600901596,0.0413007204668282,0.09033217945819949
Peptide metabolism,0.14420949357483895,0.1403158895935661,-0.0038936039812728362,-0.03948775140171996
Arginine and proline metabolism,0.2517313026918877,0.2502643913790085,-0.0014669113128791822,-0.008431593006996656
Butanoate metabolism,0.45287063872659733,0.4503599506803865,-0.0025106880462108516,-0.008020469096094059
Oxidative phosphorylation,1.191109452770902,1.192956149204988,0.0018466964340859704,0.0022350226570011554
Cholesterol metabolism,0.10329722157022748,0.10321854537180858,-7.867619841890605e-05,-0.001099245518807165
Glycerolipid metabolism,0.08073465588563741,0.08077045626611529,3.580038047787393e-05,0.0006395962442994178
Glyoxylate and dicarboxylate metabolism,3.068893127724388,3.0678931277243886,-0.0009999999999994458,-0.00047017933919612164
Prostaglandin biosynthesis,0.17283904944926132,0.17286721846334577,2.8169014084450383e-05,0.00023510882244952866
Tyrosine metabolism,1.037909466149524e-17,0.0,-1.037909466149524e-17,-1.4973868362659003e-08
Fatty acid activation (endoplasmic reticular),8.385952515556361e-19,0.0,-8.385952515556361e-19,-1.2098372873464358e-09
Beta oxidation of odd-chain fatty acids (mitochondrial),1.1921485919178055e-20,0.0,-1.1921485919178055e-20,-1.7199196899084813e-11
Nicotinate and nicotinamide metabolism,0.00019299067489656388,0.0001929906748963889,-1.7499023063916042e-16,-1.3081192128334148e-12
Cysteine and methionine metabolism,1.2082894428304582e-06,1.208289442830458e-06,-2.117582368135751e-22,-3.203426503814918e-16
Steroid metabolism,2.5790169700124785e-07,2.579016970012478e-07,-5.293955920339377e-23,-3.203426503814918e-16
Vitamin B12 metabolism,2.9744912292222403e-05,2.9744912292222406e-05,3.3881317890172014e-21,3.203426503814917e-16
Ubiquinone synthesis,0.0,0.0,0.0,0.0
Pentose and glucuronate interconversions,0.0,0.0,0.0,0.0
Urea cycle,0.0,0.0,0.0,0.0
Pantothenate and CoA metabolism,0.0,0.0,0.0,0.0
Riboflavin metabolism,0.0,0.0,0.0,0.0
O-glycan metabolism,0.0,0.0,0.0,0.0
N-glycan metabolism,0.0,0.0,0.0,0.0
Pentose Phosphate Pathway,0.0,0.0,0.0,0.0
Sulfur metabolism,0.0,0.0,0.0,0.0
Thiamine metabolism,6.798837095365122e-06,6.798837095365122e-06,0.0,0.0
Toluene degradation,0.0,0.0,0.0,0.0
Protein modification,0.0,0.0,0.0,0.0
Triacylglycerol synthesis,0.0,0.0,0.0,0.0
Alkaloids biosynthesis,0.0,0.0,0.0,0.0
Protein degradation,0.0,0.0,0.0,0.0
Serotonin and melatonin biosynthesis,0.0,0.0,0.0,0.0
Artificial reactions,0.44982354318634304,0.44982354318634304,0.0,0.0
Protein assembly,0.0,0.0,0.0,0.0
Propanoate metabolism,0.0,0.0,0.0,0.0
Retinol metabolism,1.4819706091274467e-05,1.4819706091274467e-05,0.0,0.0
Vitamin A metabolism,0.0,0.0,0.0,0.0
Phosphatidylinositol phosphate metabolism,0.0,0.0,0.0,0.0
Ubiquinone and other terpenoid-quinone biosynthesis,0.0,0.0,0.0,0.0
Phenylalanine metabolism,0.0,0.0,0.0,0.0
Aminoacyl-tRNA biosynthesis,0.29220951590830097,0.29220951590830097,0.0,0.0
Chondroitin sulfate degradation,0.0,0.0,0.0,0.0
Chondroitin / heparan sulfate biosynthesis,0.0,0.0,0.0,0.0
Cholesterol biosynthesis 3 (Kandustch-Russell pathway),0.0,0.0,0.0,0.0
Cholesterol biosynthesis 1 (Bloch pathway),0.0,0.0,0.0,0.0
C5-branched dibasic acid metabolism,0.0,0.0,0.0,0.0
Blood group biosynthesis,0.0,0.0,0.0,0.0
Biotin metabolism,0.0,0.0,0.0,0.0
Biopterin metabolism,0.0,0.0,0.0,0.0
Bile acid recycling,5.767704321367308e-37,0.0,-5.767704321367308e-37,0.0
Beta-alanine metabolism,0.0,0.0,0.0,0.0
Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal),0.0,0.0,0.0,0.0
Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),0.0,0.0,0.0,0.0
Glycosphingolipid biosynthesis-ganglio series,0.0,0.0,0.0,0.0
Beta oxidation of poly-unsaturated fatty acids (mitochondrial),0.0,0.0,0.0,0.0
Beta oxidation of phytanic acid (peroxisomal),0.0,0.0,0.0,0.0
Beta oxidation of even-chain fatty acids (peroxisomal),0.0,0.0,0.0,0.0
Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal),0.0,0.0,0.0,0.0
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),0.0,0.0,0.0,0.0
Ascorbate and aldarate metabolism,0.0,0.0,0.0,0.0
Vitamin E metabolism,1.3997605784575248e-05,1.3997605784575248e-05,0.0,0.0
Vitamin D metabolism,1.3957033014185177e-05,1.3957033014185177e-05,0.0,0.0
Vitamin C metabolism,0.0,0.0,0.0,0.0
Vitamin B6 metabolism,4.326532697050531e-06,4.326532697050531e-06,0.0,0.0
Vitamin B2 metabolism,0.0,0.0,0.0,0.0
 Arachidonic acid metabolism,0.0,0.0,0.0,0.0
Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),0.0,0.0,0.0,0.0
Metabolism of other amino acids,0.0,0.0,0.0,0.0
Lysine metabolism,4.761904761904762e-05,4.761904761904762e-05,0.0,0.0
Lipoic acid metabolism,0.0,0.0,0.0,0.0
Linoleate metabolism,0.0,0.0,0.0,0.0
Keratan sulfate degradation,0.0,0.0,0.0,0.0
Keratan sulfate biosynthesis,0.0,0.0,0.0,0.0
Isolated,6.329113924050633e-06,6.329113924050633e-06,0.0,0.0
Insect hormone biosynthesis,0.0,0.0,0.0,0.0
Histidine metabolism,0.0,0.0,0.0,0.0
Hippurate metabolism,0.0,0.0,0.0,0.0
Heme degradation,0.0,0.0,0.0,0.0
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.0,0.0,0.0,0.0
Dietary fiber binding,0.0,0.0,0.0,0.0
Glycosphingolipid biosynthesis-lacto and neolacto series,0.0,0.0,0.0,0.0
Glycosphingolipid biosynthesis-globo series,0.0,0.0,0.0,0.0
octane oxidation,0.0,0.0,0.0,0.0
Glycerophospholipid metabolism,0.06226752841029544,0.06226752841029544,0.0,0.0
Glucocorticoid biosynthesis,0.0,0.0,0.0,0.0
Galactose metabolism,0.00023291217450369523,0.00023291217450369523,0.0,0.0
Fatty acid metabolism,0.0,0.0,0.0,0.0
Fatty acid desaturation (odd-chain),0.0,0.0,0.0,0.0
Fatty acid degradation,0.0,0.0,0.0,0.0
Fatty acid activation (cytosolic),0.0,0.0,0.0,0.0
Ether lipid metabolism,0.0,0.0,0.0,0.0
Estrogen metabolism,0.0,0.0,0.0,0.0
Eicosanoid metabolism,0.10226310425747959,0.10226310425747959,0.0,0.0
Glycosphingolipid metabolism,0.0,0.0,0.0,0.0
