subsystem,mean_abs_flux_rich,mean_abs_flux_TME,delta_mean_abs_flux,log2FC_TME_vs_rich
Tryptophan metabolism,5.102862329853739e-20,1.4582765760885204e-17,1.4531737137586666e-17,2.0964864965062723e-08
Terpenoid backbone biosynthesis,4.819369978195199e-20,6.886306053751346e-18,6.838112353969394e-18,9.865310988879064e-09
Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal),0.0,2.51707308449504e-20,2.51707308449504e-20,3.63137225041385e-11
Nicotinate and nicotinamide metabolism,0.00018278478255227777,0.00018278478255062222,-1.6555496123310531e-15,-1.3066936880445415e-11
Linoleate metabolism,6.454658653697723e-23,0.0,-6.454658653697723e-23,-9.305953993582637e-14
Vitamin B6 metabolism,8.328726462978673e-06,8.328726462978688e-06,1.5246593050577406e-20,2.5627412030519317e-15
Vitamin B12 metabolism,2.86299972164892e-05,2.862999721648924e-05,4.0657581468206416e-20,1.9220559022889496e-15
Vitamin E metabolism,0.3474135528330432,0.34741355283304337,1.6653345369377348e-16,6.406853007629834e-16
Artificial reactions,0.4329630110458831,0.43296301104588325,1.6653345369377348e-16,6.406853007629834e-16
Beta oxidation of phytanic acid (peroxisomal),0.0,0.0,0.0,0.0
Phosphatidylinositol phosphate metabolism,0.0,0.0,0.0,0.0
Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),0.0,0.0,0.0,0.0
Ascorbate and aldarate metabolism,0.0,0.0,0.0,0.0
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),0.0,0.0,0.0,0.0
Biotin metabolism,0.0,0.0,0.0,0.0
Protein assembly,0.0,0.0,0.0,0.0
Protein degradation,0.0,0.0,0.0,0.0
Protein modification,0.0,0.0,0.0,0.0
Triacylglycerol synthesis,0.0,0.0,0.0,0.0
Alkaloids biosynthesis,0.0,0.0,0.0,0.0
Riboflavin metabolism,0.0,0.0,0.0,0.0
Serotonin and melatonin biosynthesis,0.0,0.0,0.0,0.0
Sulfur metabolism,0.0,0.0,0.0,0.0
Tyrosine metabolism,0.0,0.0,0.0,0.0
Ubiquinone and other terpenoid-quinone biosynthesis,0.0,0.0,0.0,0.0
" Arachidonic acid metabolism",0.0,0.0,0.0,0.0
Xenobiotics metabolism,0.0,0.0,0.0,0.0
Aminoacyl-tRNA biosynthesis,0.28125675896761054,0.28125675896761054,0.0,0.0
Androgen metabolism,9.687109434746383e-40,0.0,-9.687109434746383e-40,0.0
Ubiquinone synthesis,0.0,0.0,0.0,0.0
Urea cycle,0.0,0.0,0.0,0.0
Blood group biosynthesis,0.0,0.0,0.0,0.0
Heme degradation,0.00011460850673173333,0.00011460850673173333,0.0,0.0
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.0,0.0,0.0,0.0
Glycosphingolipid biosynthesis-lacto and neolacto series,0.0,0.0,0.0,0.0
Glycosphingolipid biosynthesis-globo series,0.0,0.0,0.0,0.0
Glycosphingolipid biosynthesis-ganglio series,0.0,0.0,0.0,0.0
Cholesterol biosynthesis 3 (Kandustch-Russell pathway),0.0,0.0,0.0,0.0
Cholesterol biosynthesis 1 (Bloch pathway),0.0,0.0,0.0,0.0
Ether lipid metabolism,0.0,0.0,0.0,0.0
Vitamin B2 metabolism,0.0,0.0,0.0,0.0
Glucocorticoid biosynthesis,3.1625212780840756e-36,0.0,-3.1625212780840756e-36,0.0
Fatty acid activation (endoplasmic reticular),0.0,0.0,0.0,0.0
Dietary fiber binding,0.0,0.0,0.0,0.0
Chondroitin sulfate degradation,0.0,0.0,0.0,0.0
Chondroitin / heparan sulfate biosynthesis,0.0,0.0,0.0,0.0
Fatty acid biosynthesis (even-chain),0.0,0.0,0.0,0.0
Fatty acid degradation,0.0,0.0,0.0,0.0
Fatty acid metabolism,0.0,0.0,0.0,0.0
Glutathione metabolism,0.0,0.0,0.0,0.0
Biopterin metabolism,0.0,0.0,0.0,0.0
Bile acid recycling,0.0,0.0,0.0,0.0
Beta oxidation of branched-chain fatty acids (mitochondrial),0.0,0.0,0.0,0.0
Pentose Phosphate Pathway,0.0,0.0,0.0,0.0
Pantothenate and CoA metabolism,0.0,0.0,0.0,0.0
Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal),0.0,0.0,0.0,0.0
O-glycan metabolism,0.0,0.0,0.0,0.0
Toluene degradation,0.0,0.0,0.0,0.0
Vitamin C metabolism,0.0,0.0,0.0,0.0
Metabolism of other amino acids,0.0,0.0,0.0,0.0
octane oxidation,0.0,0.0,0.0,0.0
Lipoic acid metabolism,0.0,0.0,0.0,0.0
Keratan sulfate degradation,0.0,0.0,0.0,0.0
Keratan sulfate biosynthesis,0.0,0.0,0.0,0.0
Insect hormone biosynthesis,0.0,0.0,0.0,0.0
Histidine metabolism,0.0,0.0,0.0,0.0
Hippurate metabolism,0.0,0.0,0.0,0.0
N-glycan metabolism,0.0,0.0,0.0,0.0
